step,strategy_name,dna,population,strategy_explanation
25,PAVLOV,0010000000001100000100010100,49,"PAVLOV: LOOKUP strategy with memory depth 1. Initial move C; responses CC->C, CD->D, DC->D, DD->C."
25,TFT,0010000000001100000100010001,42,"TFT: LOOKUP strategy with memory depth 1. Initial move C; responses CC->C, CD->D, DC->C, DD->D."
25,JOSS,0010001100101010111111110111100110000000001110011000000000,40,"JOSS: PROBABILISTIC_LOOKUP strategy with memory depth 1. Initial cooperation probability 1.000; per-state cooperation probabilities CC->0.902, CD->0.000, DC->0.902, DD->0.000."
25,SHUBIK,001001010010000000000001000000000000000000000000,39,"SHUBIK: SCRIPTED strategy `SHUBIK` with parameters (0, 0, 0)."
25,NYDEGGER,001001010010000000000000000000000000000000000000,36,"NYDEGGER: SCRIPTED strategy `NYDEGGER` with parameters (0, 0, 0)."
25,ALLD,0010000000001100010101010101,35,"ALLD: LOOKUP strategy with memory depth 1. Initial move D; responses CC->D, CD->D, DC->D, DD->D."
25,DEFENSIVE,0010000000001100010101010100,34,"DEFENSIVE: LOOKUP strategy with memory depth 1. Initial move D; responses CC->D, CD->D, DC->D, DD->C."
25,SUSPICIOUS_TFT,0010000000001100010100010001,33,"SUSPICIOUS_TFT: LOOKUP strategy with memory depth 1. Initial move D; responses CC->C, CD->D, DC->C, DD->D."
25,TF2T,0010000000100100001000000000000100010000000000010001,32,TF2T: LOOKUP strategy with memory depth 2. Initial move C; table contains 16 deterministic entries.
25,SUSPICIOUS_PAVLOV,0010000000001100010100010100,30,"SUSPICIOUS_PAVLOV: LOOKUP strategy with memory depth 1. Initial move D; responses CC->C, CD->D, DC->D, DD->C."
25,TESTER,0010000000001100010100000100,28,"TESTER: LOOKUP strategy with memory depth 1. Initial move D; responses CC->C, CD->C, DC->D, DD->C."
25,ALTERNATOR,00100100000111000000100001001010010000000000,27,"ALTERNATOR: FSM strategy with 2 states. Initial move C; initial state S0. S0: on C -> D/S1, on D -> D/S1 S1: on C -> C/S0, on D -> C/S0"
25,GTFT,0010001100101010111111110111111111010101011111111101010101,26,"GTFT: PROBABILISTIC_LOOKUP strategy with memory depth 1. Initial cooperation probability 1.000; per-state cooperation probabilities CC->1.000, CD->0.333, DC->1.000, DD->0.333."
25,FORGIVER,0010000000001100000100000001,22,"FORGIVER: LOOKUP strategy with memory depth 1. Initial move C; responses CC->C, CD->C, DC->C, DD->D."
25,ALLC,0010000000001100000100000000,13,"ALLC: LOOKUP strategy with memory depth 1. Initial move C; responses CC->C, CD->C, DC->C, DD->C."
25,Hybrid1,0010000000001100000100010101,2,"LOOKUP strategy with memory depth 1. Initial move C; responses CC->C, CD->D, DC->D, DD->D."
25,Hybrid10,0010000000001100000101010100,2,"LOOKUP strategy with memory depth 1. Initial move C; responses CC->D, CD->D, DC->D, DD->C."
25,Hybrid5,0010000000001100010101010001,2,"LOOKUP strategy with memory depth 1. Initial move D; responses CC->D, CD->D, DC->C, DD->D."
25,Hybrid2,0010000000001100000101010000,1,"LOOKUP strategy with memory depth 1. Initial move C; responses CC->D, CD->D, DC->C, DD->C."
25,HARD_REVENGER,0010000000001100000101010101,1,"HARD_REVENGER: LOOKUP strategy with memory depth 1. Initial move C; responses CC->D, CD->D, DC->D, DD->D."
25,Hybrid4,0010000000001100010101000100,1,"LOOKUP strategy with memory depth 1. Initial move D; responses CC->D, CD->C, DC->D, DD->C."
25,Hybrid6,0010000000100100011000000000000100010000000010010001,1,LOOKUP strategy with memory depth 2. Initial move D; table contains 16 deterministic entries.
25,Hybrid8,0010001100101010111111110111111110010101011111111101010101,1,"PROBABILISTIC_LOOKUP strategy with memory depth 1. Initial cooperation probability 1.000; per-state cooperation probabilities CC->0.996, CD->0.333, DC->1.000, DD->0.333."
25,Hybrid12,0010001100101010111111110111111111010101011111111000000000,1,"PROBABILISTIC_LOOKUP strategy with memory depth 1. Initial cooperation probability 1.000; per-state cooperation probabilities CC->1.000, CD->0.333, DC->0.996, DD->0.000."
25,Hybrid13,0010001100101010111111110111111111010111011111111101010101,1,"PROBABILISTIC_LOOKUP strategy with memory depth 1. Initial cooperation probability 1.000; per-state cooperation probabilities CC->1.000, CD->0.365, DC->1.000, DD->0.333."
25,Hybrid14,00100100000111000000100101001010010000000000,1,"FSM strategy with 2 states. Initial move C; initial state S1. S0: on C -> D/S1, on D -> D/S1 S1: on C -> C/S0, on D -> C/S0"
